No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
13100 < 13200,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
13200 < 13300,RRab,0,0,8,1,0,0,0,0,0,0,0,9
13200 < 13300,RRc,0,0,0,3,0,0,0,0,1,0,0,4
13200 < 13300,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
13300 < 13400,RRab,0,0,6,1,0,0,0,0,0,0,0,7
13300 < 13400,RRc,0,0,0,4,0,0,0,0,0,0,0,4
13400 < 13500,RRab,0,0,1,0,1,0,0,0,0,0,0,2
13400 < 13500,RRc,0,0,0,6,0,0,0,0,0,2,0,8
13400 < 13500,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
13500 < 13600,RRab,0,0,10,0,0,0,0,0,0,0,0,10
13500 < 13600,RRc,0,0,1,9,0,0,0,0,0,0,0,10
13500 < 13600,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
13600 < 13700,RRab,0,0,25,0,0,0,0,0,0,1,0,26
13600 < 13700,RRc,0,0,1,21,0,0,0,0,0,0,0,22
13600 < 13700,t2Cep,0,0,0,0,0,0,0,0,0,6,0,6
13700 < 13800,RRab,0,0,32,6,0,0,0,0,0,2,0,40
13700 < 13800,RRc,0,0,7,27,0,0,0,0,0,5,0,39
13700 < 13800,t2Cep,0,0,0,0,0,0,0,0,0,12,0,12
13800 < 13900,RRab,0,0,196,26,0,0,0,0,0,3,0,225
13800 < 13900,RRc,0,0,23,211,0,0,0,0,2,5,0,241
13800 < 13900,clasOvertoneCep,0,0,0,0,0,0,0,0,0,3,0,3
13800 < 13900,t2Cep,0,0,0,0,0,0,0,0,0,90,0,90
13800 < 13900,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
13900 < 14000,RRab,0,0,5,0,0,0,0,0,0,0,0,5
13900 < 14000,RRc,0,0,0,3,0,0,0,0,0,1,0,4
