No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
13900 < 14000,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
1400 < 1500,Mira,458,0,0,0,4,0,0,0,0,0,0,462
1400 < 1500,OSARG,0,714,0,0,68,0,0,0,0,1,0,783
1400 < 1500,RRab,0,0,92,22,0,0,0,2,0,1,0,117
1400 < 1500,RRc,0,0,2,131,0,0,1,0,0,0,0,134
1400 < 1500,SRV,8,47,0,0,673,0,0,0,0,0,0,728
1400 < 1500,contactBinary,0,0,0,6,0,0,0,199,47,1,0,253
1400 < 1500,detachedBinary,0,0,0,2,0,0,0,89,244,1,0,336
1400 < 1500,t2Cep,0,0,0,0,0,0,0,0,0,12,0,12
1400 < 1500,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
14000 < 14100,RRab,0,0,3,0,0,0,0,0,0,0,0,3
14100 < 14200,RRab,0,0,2,0,0,0,0,0,0,0,1,3
14100 < 14200,RRc,0,0,0,1,0,0,0,0,0,0,0,1
14200 < 14300,RRab,0,0,2,0,0,0,0,0,0,3,0,5
14200 < 14300,RRc,0,0,0,2,0,0,0,0,0,3,1,6
14200 < 14300,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
14300 < 14400,RRab,0,0,3,1,1,0,0,0,0,0,0,5
14300 < 14400,RRc,0,0,0,5,0,0,0,0,0,3,0,8
14400 < 14500,RRab,0,0,4,1,0,0,0,0,0,1,0,6
14400 < 14500,RRc,0,0,2,2,0,0,0,0,0,0,0,4
14400 < 14500,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,RRab,0,0,2,1,0,0,0,0,0,1,0,4
14500 < 14600,RRc,0,0,0,3,0,0,0,0,0,0,0,3
14500 < 14600,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
14600 < 14700,RRc,0,0,0,2,0,0,0,0,0,0,0,2
14600 < 14700,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
14700 < 14800,RRab,0,0,4,0,0,0,0,0,0,1,0,5
14700 < 14800,RRc,0,0,0,10,0,0,0,0,0,0,0,10
14800 < 14900,RRab,0,0,15,5,0,0,0,0,0,0,0,20
14800 < 14900,RRc,0,0,1,21,0,0,0,0,0,1,0,23
14800 < 14900,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
14900 < 15000,RRab,0,0,112,14,0,0,0,0,0,9,0,135
14900 < 15000,RRc,0,0,5,150,0,0,0,0,0,0,0,155
14900 < 15000,clasOvertoneCep,0,0,0,0,0,0,3,0,0,0,0,3
14900 < 15000,t2Cep,0,0,1,0,0,0,0,0,0,23,0,24
1500 < 1600,Mira,24,0,0,0,0,0,0,0,0,0,0,24
1500 < 1600,OSARG,0,19,0,0,0,0,0,0,0,0,0,19
1500 < 1600,RRab,0,1,161,42,0,1,0,2,0,4,0,211
1500 < 1600,RRc,0,0,3,295,0,0,0,0,0,2,0,300
1500 < 1600,SRV,0,3,0,0,16,0,0,0,0,2,1,22
1500 < 1600,clasCep,0,0,0,3,0,0,0,0,0,0,0,3
1500 < 1600,contactBinary,0,0,2,0,0,0,0,0,0,1,0,3
1500 < 1600,detachedBinary,0,0,0,1,0,0,0,0,1,1,0,3
1500 < 1600,t2Cep,0,0,2,0,0,0,0,0,0,40,0,42
1500 < 1600,t2RVTau,0,0,0,0,0,0,0,0,0,0,9,9
15000 < 15100,RRab,0,0,31,0,0,0,0,0,0,0,0,31
15000 < 15100,RRc,0,0,0,13,0,0,0,0,0,1,0,14
15000 < 15100,clasOvertoneCep,0,0,0,3,0,0,0,0,0,0,0,3
15000 < 15100,t2Cep,0,0,0,0,0,0,0,0,0,9,0,9
15000 < 15100,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
1600 < 1700,Mira,30,0,0,0,0,0,0,0,0,0,0,30
1600 < 1700,OSARG,0,35,0,0,12,0,0,0,0,0,0,47
1600 < 1700,RRab,0,0,178,36,0,2,0,10,2,5,0,233
1600 < 1700,RRc,0,0,8,211,0,0,0,9,8,0,0,236
1600 < 1700,SRV,2,0,0,0,38,0,0,0,0,0,2,42
1600 < 1700,clasOvertoneCep,0,0,0,3,0,0,3,0,0,0,0,6
1600 < 1700,detachedBinary,0,0,0,0,0,0,0,1,0,0,0,1
1600 < 1700,t2Cep,0,0,6,0,0,0,0,3,0,18,0,27
1600 < 1700,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
1700 < 1800,Mira,111,0,0,0,0,0,0,0,0,0,0,111
1700 < 1800,OSARG,0,213,0,0,36,0,0,0,0,0,0,249
1700 < 1800,RRab,0,1,115,20,0,0,0,0,0,3,0,139
1700 < 1800,RRc,0,0,4,176,0,0,0,0,0,1,0,181
1700 < 1800,SRV,9,9,0,0,163,0,0,0,0,0,0,181
1700 < 1800,clasOvertoneCep,0,0,0,1,0,0,7,0,0,1,0,9
1700 < 1800,detachedBinary,0,0,0,0,0,0,0,1,0,0,0,1
1700 < 1800,t2Cep,0,0,0,0,0,0,0,0,0,27,0,27
1700 < 1800,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
1800 < 1900,Mira,16,0,0,0,0,0,0,0,0,0,2,18
1800 < 1900,OSARG,0,52,0,0,6,0,0,0,0,0,0,58
1800 < 1900,RRab,0,0,150,31,0,0,0,2,0,5,0,188
1800 < 1900,RRc,0,0,23,174,0,0,0,1,0,3,0,201
1800 < 1900,SRV,1,2,0,0,31,0,0,0,0,0,0,34
1800 < 1900,clasOvertoneCep,0,0,0,1,0,0,0,0,0,2,0,3
1800 < 1900,t2Cep,0,0,3,0,0,0,0,0,0,30,0,33
1800 < 1900,t2RVTau,0,0,0,0,0,0,0,0,0,0,12,12
1900 < 2000,Mira,13,0,0,0,2,0,0,0,0,0,0,15
1900 < 2000,OSARG,0,16,0,0,2,0,0,0,0,0,0,18
1900 < 2000,RRab,0,0,295,81,0,0,0,1,0,6,0,383
1900 < 2000,RRc,0,0,8,436,0,0,0,0,0,6,0,450
1900 < 2000,SRV,0,0,0,0,7,0,0,0,0,0,0,7
1900 < 2000,clasCep,0,0,3,4,0,0,0,0,0,2,0,9
1900 < 2000,t2Cep,0,0,8,0,0,0,0,0,0,64,0,72
1900 < 2000,t2RVTau,0,0,0,0,0,0,0,0,0,0,24,24
200 < 300,Mira,3570,1,5,0,11,26,0,26,2,143,73,3857
200 < 300,OSARG,0,783,1,1,111,4,3,23,3,14,1,944
200 < 300,RRab,24,20,702,125,28,2834,146,708,18,1646,11,6262
200 < 300,RRc,5,7,194,654,3,1380,384,2797,44,1302,6,6776
200 < 300,SRV,169,98,8,17,1040,148,224,1058,98,879,63,3802
200 < 300,clasCep,0,0,0,5,0,479,78,3,0,11,0,576
200 < 300,clasOvertoneCep,0,0,1,2,0,12,353,12,0,3,0,383
200 < 300,contactBinary,2,1,52,84,1,114,280,6045,283,328,3,7193
200 < 300,detachedBinary,17,18,10,6,11,10,51,2233,3345,45,1,5747
200 < 300,t2Cep,0,0,2,5,0,4,0,19,0,295,0,325
200 < 300,t2RVTau,0,0,0,0,0,0,0,0,0,1,41,42
2000 < 2100,Mira,12,0,3,0,0,0,0,0,0,0,0,15
2000 < 2100,OSARG,1,5,0,0,1,0,0,0,1,0,0,8
2000 < 2100,RRab,0,0,53,18,0,0,0,0,0,3,0,74
2000 < 2100,RRc,0,0,0,91,0,0,0,0,0,4,0,95
2000 < 2100,SRV,0,3,0,0,5,0,0,0,0,0,0,8
2000 < 2100,contactBinary,0,0,0,0,0,0,0,2,0,0,0,2
2000 < 2100,detachedBinary,0,0,0,1,0,0,0,0,0,0,0,1
2000 < 2100,t2Cep,0,0,0,0,0,0,0,0,0,9,0,9
2000 < 2100,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
2100 < 2200,Mira,26,0,0,0,0,0,0,0,4,0,0,30
2100 < 2200,OSARG,0,14,0,0,0,0,0,0,0,1,0,15
2100 < 2200,RRc,0,0,0,2,0,0,0,0,0,0,0,2
2100 < 2200,SRV,0,3,0,0,3,0,0,0,0,0,0,6
2100 < 2200,contactBinary,0,0,0,1,0,0,0,0,0,0,0,1
2100 < 2200,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
2200 < 2300,Mira,22,0,0,0,2,0,0,0,0,0,0,24
2200 < 2300,OSARG,3,17,0,0,0,0,0,0,0,0,0,20
2200 < 2300,RRab,0,0,3,0,0,0,0,0,0,0,0,3
2200 < 2300,RRc,0,0,0,4,0,0,0,0,0,0,0,4
2200 < 2300,SRV,0,3,0,0,3,0,0,0,0,0,0,6
2200 < 2300,detachedBinary,0,0,0,0,0,0,0,1,0,0,0,1
2300 < 2400,Mira,128,2,0,0,17,0,0,0,0,0,0,147
2300 < 2400,OSARG,22,185,0,0,35,0,0,0,0,0,0,242
2300 < 2400,RRab,0,0,2,0,0,0,0,0,0,1,0,3
2300 < 2400,RRc,0,0,0,2,0,0,0,0,0,0,0,2
2300 < 2400,SRV,32,65,0,0,176,0,0,0,0,0,0,273
2300 < 2400,clasCep,0,0,0,0,0,3,0,0,0,0,0,3
2300 < 2400,detachedBinary,0,0,0,0,0,0,0,0,2,0,0,2
2400 < 2500,Mira,6,0,0,0,0,0,0,0,0,0,0,6
2400 < 2500,OSARG,0,10,0,0,0,0,0,0,0,0,0,10
2400 < 2500,RRab,0,0,1,0,0,0,0,0,0,0,0,1
2400 < 2500,RRc,0,0,0,4,0,0,0,0,0,0,0,4
2400 < 2500,SRV,0,1,0,0,3,0,0,1,0,0,0,5
2400 < 2500,detachedBinary,0,0,0,0,0,0,0,1,1,0,0,2
2500 < 2600,Mira,6,0,0,0,0,0,0,0,0,0,0,6
2500 < 2600,OSARG,0,14,0,3,3,0,0,0,0,0,0,20
2500 < 2600,RRab,0,0,2,0,0,0,0,0,0,0,0,2
2500 < 2600,RRc,0,0,0,8,0,0,0,0,0,0,0,8
2500 < 2600,SRV,0,2,0,1,12,0,0,0,0,0,0,15
2500 < 2600,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
2500 < 2600,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,1
2600 < 2700,Mira,22,0,0,0,2,0,0,0,0,0,0,24
2600 < 2700,OSARG,1,38,0,1,5,0,0,0,0,1,0,46
2600 < 2700,RRc,0,0,0,1,0,0,0,0,0,0,0,1
2600 < 2700,SRV,0,3,0,0,16,0,0,1,0,0,0,20
2600 < 2700,contactBinary,0,0,1,0,0,0,0,1,0,0,0,2
2600 < 2700,detachedBinary,0,0,0,1,0,0,0,1,1,0,0,3
2600 < 2700,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
2600 < 2700,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
2700 < 2800,Mira,330,0,0,0,0,0,0,0,0,0,0,330
2700 < 2800,OSARG,0,504,0,1,43,0,0,0,0,0,0,548
