No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
1800 < 1900,RRab,0,0,146,39,2,0,1,0,5,0,0,6,0,199
1800 < 1900,RRc,0,0,23,186,2,0,0,0,2,1,0,0,0,214
1800 < 1900,RRd,0,0,0,0,6,0,0,0,0,0,0,0,0,6
1800 < 1900,SRV,0,3,0,0,0,37,0,0,0,0,0,0,1,41
1800 < 1900,clasOvertoneCep,0,0,0,3,0,0,0,0,0,0,0,0,0,3
1800 < 1900,dsct,0,0,0,0,0,0,0,0,0,0,3,0,0,3
1800 < 1900,t2Cep,0,0,0,1,0,0,0,0,0,0,0,32,0,33
1800 < 1900,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,12,12
1900 < 2000,Mira,15,0,0,0,0,0,0,0,0,0,0,0,0,15
1900 < 2000,OSARG,0,5,0,1,0,2,0,0,0,0,0,0,0,8
1900 < 2000,RRab,0,0,346,64,4,0,0,0,1,0,0,5,0,420
1900 < 2000,RRc,0,0,19,430,16,0,0,0,0,0,0,6,0,471
1900 < 2000,RRd,0,0,0,0,36,0,0,0,0,0,0,0,0,36
1900 < 2000,SRV,0,6,0,0,0,12,0,0,0,0,0,0,0,18
1900 < 2000,clasCep,0,0,2,3,0,0,4,0,0,0,0,0,0,9
1900 < 2000,contactBinary,0,0,0,2,0,0,0,0,0,0,0,0,0,2
1900 < 2000,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1900 < 2000,dsct,0,0,0,0,0,0,0,0,0,0,3,0,0,3
1900 < 2000,t2Cep,0,0,4,0,0,0,0,0,0,0,0,68,0,72
1900 < 2000,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,24,24
200 < 300,Mira,3342,2,1,0,0,4,27,0,32,0,0,102,278,3788
200 < 300,OSARG,1,714,0,3,0,97,0,1,14,9,2,10,0,851
200 < 300,RRab,31,10,647,82,14,9,1761,186,924,9,1,2425,26,6125
200 < 300,RRc,13,6,152,581,18,4,789,276,3204,15,4,1241,4,6307
200 < 300,RRd,1,0,24,4,29,2,179,23,79,1,0,221,5,568
200 < 300,SRV,165,133,8,2,0,1144,82,151,810,48,2,817,320,3682
200 < 300,clasCep,0,0,0,8,0,2,551,58,35,0,0,23,0,677
200 < 300,clasOvertoneCep,0,0,0,3,2,0,13,372,20,0,0,3,0,413
200 < 300,contactBinary,7,2,26,31,1,2,60,123,6383,207,7,243,14,7106
