No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
1600 < 1700,clasOvertoneCep,0,0,0,2,0,0,4,0,0,0,0,0,6
1600 < 1700,dsct,0,0,0,0,0,0,0,0,0,3,0,0,3
1600 < 1700,t2Cep,0,0,0,0,0,0,0,0,0,0,27,0,27
1600 < 1700,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
1700 < 1800,Mira,109,0,0,0,2,0,0,0,0,0,0,0,111
1700 < 1800,OSARG,0,228,0,0,19,0,0,0,0,0,0,0,247
1700 < 1800,RRab,0,0,119,17,0,0,1,0,0,1,10,0,148
1700 < 1800,RRc,0,0,9,158,0,0,0,0,0,0,0,0,167
1700 < 1800,SRV,3,26,0,1,165,0,0,0,0,0,0,0,195
1700 < 1800,clasOvertoneCep,0,0,0,3,0,0,6,0,0,0,0,0,9
1700 < 1800,detachedBinary,0,0,1,0,0,0,0,0,1,0,0,0,2
1700 < 1800,dsct,0,0,0,0,0,0,0,0,0,3,0,0,3
1700 < 1800,t2Cep,0,0,3,0,0,0,0,0,0,0,24,0,27
1700 < 1800,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
1800 < 1900,Mira,17,0,0,0,0,0,0,0,0,0,0,1,18
1800 < 1900,OSARG,0,54,0,0,8,0,0,0,0,0,0,0,62
1800 < 1900,RRab,0,0,156,38,0,0,0,0,0,0,7,0,201
1800 < 1900,RRc,0,0,20,189,0,0,0,0,0,0,3,0,212
1800 < 1900,SRV,0,13,0,0,32,0,0,0,0,0,0,0,45
1800 < 1900,clasOvertoneCep,0,0,0,0,0,0,2,0,0,0,1,0,3
1800 < 1900,dsct,0,0,0,0,0,0,0,0,0,3,0,0,3
1800 < 1900,t2Cep,0,0,0,0,0,0,0,0,0,0,33,0,33
1800 < 1900,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,12,12
1900 < 2000,Mira,12,0,1,0,2,0,0,0,0,0,0,0,15
