No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
2800 < 2900,OSARG,0,17,0,0,3,0,0,0,0,0,0,20
2800 < 2900,RRab,0,0,5,1,0,0,0,0,0,0,0,6
2800 < 2900,RRc,0,0,0,4,0,0,0,0,0,0,0,4
2800 < 2900,SRV,0,1,0,0,8,0,0,0,0,0,0,9
2800 < 2900,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
2800 < 2900,detachedBinary,0,0,2,0,0,0,0,0,4,0,0,6
2900 < 3000,Mira,15,0,0,0,0,0,0,0,0,0,0,15
2900 < 3000,OSARG,0,62,0,0,7,0,0,0,0,0,0,69
2900 < 3000,RRab,0,0,2,2,0,0,0,0,0,0,0,4
2900 < 3000,RRc,0,0,0,6,0,0,0,0,0,0,0,6
2900 < 3000,SRV,0,5,0,0,36,0,0,0,0,0,0,41
2900 < 3000,detachedBinary,0,0,1,0,0,0,0,1,1,0,0,3
2900 < 3000,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
300 < 400,Mira,2760,0,2,0,15,62,1,12,2,53,11,2918
300 < 400,OSARG,0,1711,0,1,180,0,4,2,4,1,0,1903
300 < 400,RRab,5,2,616,96,25,680,56,172,9,304,1,1966
300 < 400,RRc,3,1,94,508,7,248,144,534,27,159,1,1726
300 < 400,SRV,97,133,26,18,2164,128,236,365,185,249,19,3620
300 < 400,clasCep,0,0,3,7,0,542,14,2,0,0,0,568
300 < 400,clasOvertoneCep,0,1,0,10,0,2,302,3,0,0,0,318
300 < 400,contactBinary,1,6,24,33,3,86,106,2549,464,79,2,3353
300 < 400,detachedBinary,5,7,5,5,9,13,32,793,2495,11,3,3378
300 < 400,t2Cep,0,0,4,6,0,1,0,3,0,249,3,266
300 < 400,t2RVTau,0,0,0,0,0,0,0,0,0,0,39,39
3000 < 3100,RRab,0,0,1,0,0,0,0,0,0,0,0,1
3000 < 3100,contactBinary,0,0,0,0,0,0,0,1,2,0,0,3
3000 < 3100,detachedBinary,0,0,1,1,0,0,0,1,2,0,0,5
3100 < 3200,RRab,0,0,2,0,0,0,0,0,0,0,0,2
3100 < 3200,RRc,0,0,0,1,0,0,0,0,0,0,0,1
3100 < 3200,contactBinary,0,0,0,0,0,0,0,0,1,0,0,1
3100 < 3200,detachedBinary,0,0,0,0,0,0,0,0,2,0,0,2
3200 < 3300,RRab,0,0,2,0,0,0,0,0,0,0,0,2
3200 < 3300,RRc,0,0,0,3,0,0,0,0,0,0,0,3
3200 < 3300,contactBinary,0,0,0,0,0,0,0,0,1,0,0,1
3200 < 3300,detachedBinary,0,0,3,0,0,0,0,0,1,0,0,4
3300 < 3400,RRab,0,0,1,0,0,0,0,0,0,0,0,1
3300 < 3400,RRc,0,0,1,2,0,0,0,0,0,0,0,3
3300 < 3400,contactBinary,0,0,0,0,0,0,0,0,1,0,0,1
3300 < 3400,detachedBinary,0,0,0,0,0,0,0,1,6,1,0,8
3300 < 3400,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
3400 < 3500,RRab,0,0,3,0,0,0,0,0,0,0,0,3
3400 < 3500,RRc,0,0,0,1,0,0,0,0,0,0,0,1
3400 < 3500,contactBinary,0,0,0,1,0,0,0,0,0,0,0,1
3500 < 3600,RRab,0,0,1,1,0,0,0,0,0,0,0,2
3500 < 3600,RRc,0,0,1,5,0,0,0,0,0,0,0,6
3500 < 3600,contactBinary,0,0,0,0,0,0,0,1,0,0,0,1
3500 < 3600,detachedBinary,0,0,0,0,0,0,0,1,3,0,0,4
3500 < 3600,t2Cep,0,0,0,0,0,0,0,0,0,3,0,3
3600 < 3700,RRab,0,0,1,1,0,0,0,0,0,0,0,2
3600 < 3700,RRc,0,0,0,2,0,0,0,0,0,0,0,2
3600 < 3700,contactBinary,0,0,1,0,0,0,0,0,1,0,0,2
3600 < 3700,detachedBinary,0,0,2,0,0,0,0,0,2,0,0,4
3600 < 3700,t2Cep,0,0,0,0,0,0,0,0,0,6,0,6
3700 < 3800,RRab,0,0,2,0,0,0,0,0,0,0,0,2
3700 < 3800,RRc,0,0,0,8,1,0,0,0,0,0,0,9
3700 < 3800,contactBinary,0,0,1,0,0,0,0,1,1,0,0,3
3700 < 3800,detachedBinary,0,0,1,1,0,0,0,2,2,0,0,6
3800 < 3900,RRab,0,0,3,0,0,0,0,0,0,0,0,3
3800 < 3900,RRc,0,0,0,10,0,0,0,0,0,0,0,10
3800 < 3900,contactBinary,0,0,0,1,0,0,0,3,2,0,0,6
3800 < 3900,detachedBinary,0,0,3,0,0,0,0,0,7,0,0,10
3900 < 4000,RRab,0,0,0,2,0,0,0,0,0,0,0,2
3900 < 4000,RRc,0,0,1,4,0,0,0,0,0,0,0,5
3900 < 4000,contactBinary,0,0,1,0,0,0,0,3,2,0,0,6
3900 < 4000,detachedBinary,0,0,0,1,0,0,0,2,4,0,0,7
400 < 500,Mira,955,0,1,0,7,16,0,4,1,23,3,1010
400 < 500,OSARG,0,256,0,0,34,0,0,2,2,2,0,296
400 < 500,RRab,11,1,1059,200,3,648,21,188,14,287,0,2432
400 < 500,RRc,1,3,312,990,1,275,75,482,43,144,0,2326
400 < 500,SRV,39,45,14,1,362,33,91,78,52,92,4,811
400 < 500,clasCep,1,0,8,0,0,2559,276,0,0,0,2,2846
