No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,t2Cep,t2RVTau,All
1900 < 2000,RRab,0,0,314,82,0,0,0,0,0,12,0,408
1900 < 2000,RRc,0,0,14,492,0,0,0,0,0,7,0,513
1900 < 2000,SRV,0,3,0,0,5,0,0,0,0,0,0,8
1900 < 2000,clasCep,0,0,4,4,0,0,0,0,0,1,0,9
1900 < 2000,contactBinary,0,0,0,1,0,0,0,0,0,0,0,1
1900 < 2000,detachedBinary,0,0,0,1,0,0,0,0,1,0,0,2
1900 < 2000,t2Cep,0,0,4,0,0,0,0,0,0,68,0,72
1900 < 2000,t2RVTau,0,0,0,0,0,0,0,0,0,0,24,24
200 < 300,Mira,3589,16,19,0,125,5,0,1,8,0,30,3793
200 < 300,OSARG,0,743,1,1,106,0,9,1,4,2,3,870
200 < 300,RRab,3,9,466,80,3,37,4,54,3,45,0,704
200 < 300,RRc,0,2,48,615,0,5,10,53,3,11,0,747
200 < 300,SRV,335,232,150,241,1801,167,412,52,153,117,64,3724
200 < 300,clasCep,10,25,88,20,21,465,39,13,8,44,23,756
200 < 300,clasOvertoneCep,2,0,23,47,0,84,247,4,4,22,2,435
200 < 300,contactBinary,3,3,23,28,3,9,2,1482,200,19,0,1772
200 < 300,detachedBinary,1,5,15,14,6,3,1,536,1018,6,2,1607
200 < 300,t2Cep,28,26,182,37,47,211,31,31,25,144,63,825
200 < 300,t2RVTau,31,8,2,0,10,12,0,0,6,3,51,123
2000 < 2100,Mira,9,0,2,3,1,0,0,0,0,0,0,15
2000 < 2100,OSARG,0,6,0,0,0,0,0,0,0,0,0,6
2000 < 2100,RRab,0,0,60,17,0,0,0,0,0,0,0,77
2000 < 2100,RRc,0,0,3,83,0,0,0,0,0,4,0,90
2000 < 2100,SRV,0,3,0,0,5,0,0,0,0,0,0,8
2000 < 2100,detachedBinary,0,0,1,1,0,0,0,0,0,0,0,2
2000 < 2100,t2Cep,0,0,2,0,0,0,0,0,0,7,0,9
2000 < 2100,t2RVTau,0,0,0,0,0,0,0,0,0,0,6,6
2100 < 2200,Mira,20,0,0,0,7,0,0,0,0,3,0,30
2100 < 2200,OSARG,0,7,0,2,0,0,0,0,0,0,0,9
2100 < 2200,RRab,0,0,5,0,0,0,0,0,0,0,0,5
2100 < 2200,SRV,0,1,0,1,1,0,0,0,0,0,0,3
2100 < 2200,detachedBinary,0,0,1,0,0,0,0,0,2,0,0,3
2100 < 2200,t2RVTau,0,0,0,0,0,0,0,0,0,0,3,3
