# vivaID,ra,dec,freqSTR,freqPDM,freqLSG,ksAmpl,jmhPnt,kFi2,faPcorrelation2,wesenheit,jAperMag3,ksAperMag3,flagNfreq,flagFbias6,flagFbias7,upload_RA,upload_Dec,varType
#
# Results of Query: Database VVVDR4 06/02/20 23:15
# select viva.vivaID,viva.ra,viva.dec,viva.freqSTR,viva.freqPDM,
# viva.freqLSG,(v.ksMaxMag-v.ksMinMag) as ksAmpl,s.jmhPnt,viva.kFi2,
# viva.faPcorrelation2,CASE WHEN (s.ksAperMag3>0 and s.jAperMag3>0 and 
# s.ksAperMag3<25 and s.jAperMag3<25) THEN (s.ksAperMag3 - 
# 0.686*(s.jAperMag3-s.ksAperMag3)) ELSE -9.9999999e8 END as wesenheit,
# s.jAperMag3,s.ksAperMag3,flagNfreq,flagFbias6,flagFbias7, u.upload_RA,
#  u.upload_Dec, u.varType from vvvVivaCatalogue as viva,vvvVariability 
# as v,vvvSource as s,#userTable as u  where v.sourceID=viva.vivaID and 
# v.ksMinMag>0. and v.ksnGoodObs>40 and viva.faPcorrelation2 > 0 and 
# s.sourceID=v.sourceID and v.sourceID=u.sourceID
# Column Headers at start of file AND below
#
# vivaID,ra,dec,freqSTR,freqPDM,freqLSG,ksAmpl,jmhPnt,kFi2,faPcorrelation2,wesenheit,jAperMag3,ksAperMag3,flagNfreq,flagFbias6,flagFbias7,upload_RA,upload_Dec,varType
        515513469901,    +272.4273834,     -28.2693272,     +15.3528887,      +0.7872912,      +1.0604434,     +0.760251, -9.999995E008,      +1.0000000,      +0.8681980,     +10.1609621,    +11.589832,    +10.742341,     2,     1,     1,    +272.4273750,     -28.2693300,OSARG
        515513520897,    +272.2298776,     -28.1019467,      +3.5767816,     +12.7685703,     +21.1116376,     +1.315476, -9.999995E008,      +0.8750000,      +0.8681980,      +9.9811382,    +11.157786,    +10.459893,     1,   396,   173,    +272.2298750,     -28.1019400,OSARG
        515513622767,    +272.9429816,     -28.3045533,      +0.3751970,     +29.7449303,      +0.7283170,     +0.323535, -9.999995E008,      +0.9230770,      +0.7996150,     +10.3318586,    +11.965935,    +10.996732,     2,     2,     1,    +272.9430000,     -28.3045600,OSARG
        515516737474,    +269.7631110,     -28.5216717,     +27.0147368,      +9.3732932,     +13.2267110,     +1.423964,     +0.348112,      +1.0000000,      +0.9524920,     +10.0595179,    +11.547036,    +10.664760,     3,     7,     2,    +269.7631250,     -28.5216700,OSARG
        515516842781,    +269.4626302,     -28.1572375,     +24.0570848,     +25.4952553,      +0.5144717,     +0.651943,     +0.643320,      +0.8333330,      +0.7143170,      +9.7244425,    +12.124514,    +10.700984,     1,     9,     1,    +269.4626250,     -28.1572500,OSARG
        515516948418,    +270.1931802,     -28.3061312,      +9.8785449,      +0.3201009,     +16.8801657,     +0.563935,     +0.397557,      +1.0000000,      +0.8213600,     +10.0352383,    +11.581898,    +10.664543,     1,    83,    18,    +270.1931250,     -28.3061400,OSARG
        515516953178,    +269.5983519,     -27.9949110,     +16.6911062,      +0.9306595,      +0.9309096,     +1.339339,     +0.416043,      +0.7666670,      +0.7143170,     +10.4476061,    +12.075582,    +11.109997,     2,     1,     1,    +269.5983750,     -27.9949200,OSARG
        515517052133,    +269.9341163,     -27.9350458,      +1.6423791,     +23.4560749,      +0.6399602,     +0.666439,     +0.321471,      +0.8461540,      +0.7996150,     +10.1656828,    +11.732816,    +10.803318,     1,   417,   396,    +269.9341250,     -27.9350600,OSARG
        515517110919,    +269.9305165,     -27.8058139,      +8.0210645,      +7.1386875,      +1.6425057,     +0.526653,     +0.527780,      +0.9333330,      +0.7143170,     +10.2607832,    +12.156302,    +11.032032,     1,   125,    32,    +269.9305000,     -27.8058300,OSARG
        515517376205,    +269.7686470,     -27.1622999,     +29.5136214,     +17.3169162,      +9.2624414,     +0.492600,     +0.562722,      +1.0000000,      +0.8500000,      +9.4646568,    +11.484790,    +10.286609,     2,  1151,    45,    +269.7686250,     -27.1623100,OSARG
        515517408429,    +269.8308559,     -27.1245489,     +23.6158615,     +16.0468874,     +16.0470984,     +0.666539,     +0.508584,      +0.7727270,      +0.7418810,      +9.4168005,    +11.441815,    +10.240739,     2,  9255,  8428,    +269.8308750,     -27.1245300,OSARG
        515517586217,    +269.8057503,     -28.4626193,     +14.4387823,     +20.1345020,     +16.3063430,     +0.437040,     +0.496720,      +1.0000000,      +0.7905350,     +10.1317167,    +11.907109,    +10.854089,     1,   106,    41,    +269.8057500,     -28.4626400,OSARG
        515526132569,    +270.6601401,     -28.9881377,      +4.2613211,     +18.8792385,      +4.2613211,     +0.743114,     +0.289345,      +1.0000000,      +0.9174230,     +10.1649475,    +11.390340,    +10.663535,     4,    20,     1,    +270.6601250,     -28.9881400,OSARG
        515526150617,    +270.6451153,     -28.9392662,      +5.5655650,      +1.8373252,      +2.6722611,     +0.857951,     +0.203876,      +0.9230770,      +0.7996150,     +10.0987091,    +11.175914,    +10.537003,     2,     2,     1,    +270.6451250,     -28.9392800,OSARG
        515415028301,    +267.2387772,     -21.1924400,     +16.8136904,     +25.6224534,      +4.0911913,     +0.421594,     +0.643851,      +0.9230770,      +0.7996150,     +10.3475885,    +12.343245,    +11.159581,     1,    61,     9,    +267.2387500,     -21.1924400,OSARG
        515436350378,    +266.8870764,     -23.5851681,      +5.9240018,     +18.0263092,     +15.0946612,     +1.703684,     +0.251905,      +1.0000000,      +0.9524920,      +9.3164845,    +11.146886,    +10.061238,     2,  3732,  3382,    +266.8872500,     -23.5850000, Mira
        515436599515,    +266.9361472,     -23.1665732,     +12.8198604,     +17.2595434,     +19.5716635,     +1.195642,     +0.517533,      +1.0000000,      +0.8213600,     +10.9068422,    +12.363117,    +11.499372,     2,    98,    75,    +266.9361250,     -23.1665800,OSARG
