#cflvsc.sourceID, cflvsc.ksAperMag3, cflvsc.ksEMeanMagPawprint, cflvsc.MainVarType
515557864136,-999.0,14.200373,  Microlens
515557959963,-999.0,10.699722,  LPV
515557979358,-999.0,11.781656,  RGB
515557980454,-999.0,11.457299,  RGB
515557982159,-999.0,11.576428,  RGB
515557986038,-999.0,11.784638000000001,  RGB
515557992519,-999.0,11.747463,  RGB
515557992739,-999.0,13.065869000000001,  RGB
515557997030,-999.0,12.846083,  RGB
515557998061,-999.0,11.289407,  RGB
515557999500,-999.0,11.938112,  RGB
515558003736,-999.0,10.840316,  LPV
515558010349,-999.0,12.667292,  RGB
515558010360,-999.0,10.839321,  RGB
515558010365,-999.0,13.077835,  RGB
515558011093,-999.0,12.950318,  RGB
515558015788,-999.0,11.814352,  RGB
515558017720,-999.0,12.759278,  RGB
515558020119,-999.0,12.197414,  LPV
515558022194,-999.0,13.173291,  RGB
515558026160,-999.0,13.335889000000002,  RGB
515558027701,-999.0,10.740581,  RGB
515558028620,-999.0,11.797198,  RGB
515558030899,-999.0,13.024543,  RGB
515558031608,-999.0,13.251759,  RGB
515558037716,-999.0,13.082628,  RGB
515558041295,-999.0,12.896696,  RGB
515558042557,-999.0,11.877769,  Microlens
515558051153,-999.0,13.345857,  RGB
515558055976,-999.0,12.674567999999999,  RGB
515558070718,-999.0,11.583339,  RGB
515558070962,-999.0,12.752185,  RGB
515558072511,-999.0,12.764113,  RGB
515558073424,-999.0,10.546308,  RGB
515558085539,-999.0,10.522155,  RGB
515558087748,-999.0,10.836302,  RGB
515558090356,-999.0,10.643492,  RGB
515558090357,-999.0,13.243143,  RGB
515558099466,-999.0,10.920949,  RGB
515558104473,-999.0,12.915267,  RGB
515558112511,-999.0,11.274389999999999,  RGB
515558112788,-999.0,12.709724000000001,  RGB
515558115994,-999.0,11.726016,  RGB
515558117044,-999.0,13.010946,  RGB
515558118087,-999.0,11.729435,  RGB
515558122003,-999.0,10.300522,  RGB
515558124529,-999.0,13.03444,  RGB
515558129143,-999.0,11.863966,  RGB
515558130189,-999.0,10.913167999999999,  RGB
515558132884,-999.0,11.578989,  RGB
515558140353,-999.0,11.507989,  RGB
515558150270,-999.0,13.04632,  RGB
515558153159,-999.0,12.726441000000001,  RGB
515558163896,-999.0,11.595005,  RGB
515558174306,-999.0,11.70947,  RGB
515558174307,-999.0,12.728675,  RGB
515558180180,-999.0,10.849267999999999,  RGB
515558187429,-999.0,11.692314,  RGB
515558203521,-999.0,11.223473,  RGB
515558251524,-999.0,11.726643,  RGB
515558278277,-999.0,11.194927,  RGB
515558280447,-999.0,11.40881,  RGB
515558289731,-999.0,10.284398,  RGB
515558364452,-999.0,11.596921,  RGB
515558378544,-999.0,11.601617999999998,  RGB
515558427052,-999.0,10.970384,  RGB
515558477300,-999.0,13.359547000000001,  Microlens
515558518788,-999.0,10.746107,  RGB
515558527298,-999.0,14.880571,  Microlens
515558745901,-999.0,15.448841,  Microlens
515535445012,-999.0,15.702804,  Microlens
515535469375,-999.0,11.020872,  RGB
515535472422,-999.0,10.817176,  RGB
515535635354,-999.0,10.603147,  RGB
515535707850,-999.0,13.546081,  Microlens
515535781940,-999.0,11.043327,  RGB
515536091074,-999.0,10.569856,  RGB
515536183687,-999.0,12.655835,  Microlens
515536304325,-999.0,10.249139999999999,  RGB
515536333696,-999.0,13.880601,  Microlens
515513432403,-999.0,14.051235,  Microlens
515513576807,-999.0,14.723914,  Microlens
515513800917,-999.0,10.844196,  RGB
515514208560,-999.0,14.358960999999999,  Microlens
515514449591,-999.0,14.762191,  Microlens
515491814470,-999.0,16.477863,  Radio
515492154548,-999.0,10.662823,  RGB
515428012236,-999.0,10.966642,  LPV
515652519692,-999.0,10.192198,  LPV
515633643071,-999.0,10.879152000000001,  Microlens
515633743762,-999.0,14.091783,  Microlens
515634241287,-999.0,10.268945,  LPV
515610641072,-999.0,12.555545,  Microlens
515610729554,-999.0,11.437612,  Microlens
515610839386,-999.0,10.051829,  M
515611058084,-999.0,13.149477,  Microlens
515611881986,-999.0,10.964236999999999,  LPV
515611936163,-999.0,14.075107000000001,  Microlens
515591003288,-999.0,11.11777,  M
515591160904,-999.0,13.792439000000002,  Microlens
515591194533,-999.0,11.111277000000001,  Microlens
515592204862,11.526817999999999,10.079663,  LPV
515592204958,-999.0,10.483908999999999,  LPV
515569886607,-999.0,14.771045,  Microlens
515569938980,-999.0,14.784179,  Microlens
515570026691,-999.0,14.885276000000001,  Microlens
515570083518,-999.0,12.69593,  Microlens
515570108777,-999.0,13.272023,  Microlens
515570288305,-999.0,11.040526,  LPV
515570325690,-999.0,13.383635,  Microlens
515570343075,-999.0,13.550505,  Microlens
515570357879,-999.0,15.199835,  Microlens
515570483064,-999.0,13.351023000000001,  Microlens
515570599451,-999.0,13.419159,  Microlens
515570766810,-999.0,11.102464999999999,  M
515548211405,-999.0,11.804575,  RGB
515548281370,-999.0,10.442979,  RGB
515548282065,-999.0,11.083255,  RGB
515548313977,-999.0,12.984311,  Microlens
515548332571,-999.0,12.063414,  Microlens
515548432459,-999.0,13.006267,  Microlens
515548433765,-999.0,11.372089,  RGB
515548452997,-999.0,14.906676000000001,  Microlens
515548461361,-999.0,12.857361000000001,  Microlens
515548495372,-999.0,11.796375999999999,  RGB
515548506412,-999.0,11.807546,  Microlens
515548553878,-999.0,11.254348,  Microlens
515548627721,-999.0,10.458675,  Microlens
515548643623,-999.0,13.817788,  Microlens
515548654461,-999.0,13.298582999999999,  Microlens
515548663153,-999.0,11.576925,  RGB
515548664607,-999.0,10.707239,  Microlens
515548697842,-999.0,10.292910000000001,  RGB
515548699317,-999.0,10.270725,  RGB
515548730112,-999.0,14.733493,  Microlens
515548752978,-999.0,12.383244,  RGB
515548754003,-999.0,11.095709,  RGB
515548792307,-999.0,10.248489999999999,  LPV
515548793227,-999.0,13.208584,  RGB
515548816837,-999.0,13.653424,  Microlens
515548825338,-999.0,10.865515,  RGB
515548827433,-999.0,10.416588,  LPV
515548828181,-999.0,12.765196000000001,  RGB
515548862726,-999.0,13.942480999999999,  Microlens
515548870208,-999.0,13.102805,  Microlens
515548904095,10.086908,10.035424,  LPV
515548905958,-999.0,13.679331,  Microlens
515548918299,-999.0,12.994197,  Microlens
515549006709,-999.0,11.271071000000001,  RGB
515549082016,-999.0,16.068251999999998,  Microlens
515549155232,-999.0,12.514678,  LPV
515549155582,-999.0,12.020549,  LPV
515549451041,-999.0,14.85265,  Microlens
515549525713,-999.0,10.676985,  LPV
515549535444,10.446383,10.378961,  LPV
515526049671,-999.0,10.139358999999999,  LPV
515526099652,-999.0,10.176772999999999,  LPV
515526111315,-999.0,14.232392,  Microlens
515526271940,-999.0,12.91424,  Microlens
515526274737,-999.0,10.777442,  LPV
515526289351,-999.0,13.411554,  Microlens
515526298203,-999.0,11.569708,  LPV
515526116309,-999.0,13.106156,  Microlens
515526148725,-999.0,15.393319,  Microlens
515526171372,-999.0,10.393134,  M
515526187127,-999.0,10.677549,  RGB
515526204538,-999.0,10.848392,  RGB
515526226853,-999.0,14.084607,  Microlens
515526302165,-999.0,10.561152,  Microlens
515526303179,-999.0,11.156562,  Microlens
515526310986,-999.0,13.675401,  Microlens
515526317732,-999.0,10.973623,  RGB
515526326595,-999.0,11.010269000000001,  RGB
515526332565,-999.0,10.876123,  RGB
515526347383,-999.0,10.904186,  LPV
515526361830,-999.0,10.693797,  RGB
515526374895,-999.0,11.238144,  LPV
515526574233,-999.0,13.767926000000001,  Microlens
515526456398,-999.0,14.981876000000002,  Microlens
515526498842,-999.0,14.252763,  Microlens
515526516416,-999.0,13.834626,  Microlens
515526535709,-999.0,11.116413,  LPV
515526545081,-999.0,10.481361,  RGB
515526592672,-999.0,10.495313000000001,  Microlens
515526607683,-999.0,10.756865,  RGB
515526704475,-999.0,12.386411,  Microlens
515526711037,-999.0,10.680000999999999,  LPV
515526719450,-999.0,10.294487,  RGB
515526842307,-999.0,15.025076,  Microlens
515526845362,-999.0,11.382292,  M
515526918101,-999.0,10.249961,  LPV
515526924489,-999.0,10.853169,  LPV
515526926863,-999.0,10.042047,  LPV
515526941065,-999.0,10.220185,  LPV
515526945414,-999.0,10.226788,  LPV
515526946663,-999.0,10.106632000000001,  LPV
515526965236,-999.0,10.807822999999999,  LPV
515527038606,-999.0,11.182853,  LPV
515527060269,-999.0,11.44497,  LPV
515527155312,-999.0,10.577625999999999,  LPV
515527171487,-999.0,10.31288,  LPV
515527221740,-999.0,10.142878,  LPV
515527286430,-999.0,11.084952000000001,  LPV
515527303501,-999.0,10.698874,  RGB
515527309693,-999.0,10.960531,  LPV
515527322362,-999.0,10.977582,  LPV
515527323555,-999.0,11.082336,  LPV
515527326708,-999.0,10.895102,  LPV
515527327497,-999.0,11.126372,  M
515527335484,-999.0,10.459046,  M
515527337292,-999.0,10.8972,  LPV
515527390869,-999.0,10.621896000000001,  LPV
515527392391,-999.0,10.877282000000001,  LPV
515527399648,-999.0,11.147989,  LPV
515527401370,-999.0,10.266841000000001,  LPV
515527402004,-999.0,11.356179,  LPV
515527402005,-999.0,11.147656,  LPV
515527407882,-999.0,11.040500999999999,  LPV
515527408199,11.317858,11.222779,  LPV
515527411613,-999.0,10.850377,  M
515527417127,-999.0,10.21759,  LPV
515504167864,-999.0,14.189637,  Microlens
515504170963,-999.0,13.209791000000001,  Microlens
515504185561,-999.0,12.484276,  Microlens
515504227867,-999.0,12.850408,  Microlens
515504319120,-999.0,10.872503,  Microlens
515504425412,-999.0,12.815045,  Microlens
515504437714,-999.0,15.276553,  Microlens
515504440311,-999.0,14.471119,  Microlens
515504518929,-999.0,11.214447,  LPV
515504652743,15.007482000000001,15.066617,  Microlens
515504717931,-999.0,12.713548,  Microlens
515504790710,-999.0,10.310082000000001,  RGB
515504968265,-999.0,10.439191000000001,  LPV
515504972076,-999.0,10.480974,  LPV
515505059199,-999.0,13.162439000000001,  Microlens
515505066826,-999.0,15.153788,  Microlens
515505244841,-999.0,10.691767,  LPV
515505363072,-999.0,10.591224,  LPV
515505363528,-999.0,10.484086999999999,  LPV
515505492407,-999.0,10.265071,  LPV
515505497748,-999.0,10.252719,  LPV
515505540006,-999.0,10.270755,  LPV
515505563341,-999.0,11.267794,  LPV
515505653347,-999.0,10.343367,  LPV
515505653557,-999.0,10.138909,  LPV
515505655252,-999.0,10.048666,  LPV
515505655836,-999.0,10.015659,  LPV
515505680480,-999.0,10.286916,  M
515482535274,-999.0,10.692425,  RGB
515482578824,-999.0,10.312582,  LPV
515482585779,-999.0,15.756867000000002,  Microlens
515482663727,-999.0,13.433608999999999,  Microlens
515482667597,-999.0,10.457857,  LPV
515482674912,-999.0,10.428123,  RGB
515482713517,-999.0,10.772056,  RGB
515482754409,-999.0,11.536582000000001,  RGB
515482761942,-999.0,11.40123,  RGB
515482763384,-999.0,12.005695,  RGB
515482772596,-999.0,11.152364,  RGB
515482773613,-999.0,11.818119,  RGB
515482774875,-999.0,11.661747,  RGB
515482776517,-999.0,11.89789,  RGB
515482777567,-999.0,11.957261,  RGB
515482777966,-999.0,11.74997,  RGB
515482778422,-999.0,11.574533,  RGB
515482778746,-999.0,11.544903,  RGB
515482782980,-999.0,11.483284,  RGB
515482783054,-999.0,11.883066,  RGB
515482784072,-999.0,11.056678999999999,  RGB
515482792400,-999.0,11.743507000000001,  RGB
515482795249,-999.0,11.455488,  RGB
515482796927,-999.0,11.759354,  RGB
515482798173,-999.0,11.422007,  RGB
515482799837,-999.0,11.859765,  RGB
515482800451,-999.0,11.975954,  Microlens
515482805230,-999.0,11.851777,  RGB
515482805369,-999.0,11.594405,  RGB
515482806998,-999.0,15.363879,  Microlens
515482808034,-999.0,11.197532,  RGB
515482808657,-999.0,11.706985000000001,  RGB
515482811374,-999.0,11.873539,  RGB
515482811530,-999.0,11.514778999999999,  RGB
515482813016,-999.0,11.624918,  RGB
515482814157,-999.0,11.706878999999999,  RGB
515482814290,-999.0,11.406393,  RGB
515482815145,-999.0,11.483522,  RGB
515482816736,-999.0,11.901188000000001,  RGB
515482816927,-999.0,11.524274,  RGB
515482818939,-999.0,11.819844999999999,  RGB
515482820292,-999.0,11.743039,  RGB
515482823662,-999.0,10.912612,  RGB
515482824644,-999.0,11.712521,  RGB
515482826480,-999.0,11.597125,  RGB
515482827646,-999.0,11.891259,  RGB
515482831306,-999.0,12.004527000000001,  RGB
515482833892,-999.0,11.700628,  RGB
515482835379,-999.0,11.647069,  RGB
515482836407,-999.0,11.837438,  RGB
515482838552,-999.0,11.68163,  RGB
515482838820,-999.0,11.260574,  RGB
515482840694,-999.0,11.705598,  RGB
515482841146,-999.0,11.966323,  RGB
515482841162,-999.0,11.728366000000001,  RGB
515482844688,-999.0,11.965245,  RGB
515482844916,-999.0,11.400793,  RGB
515482845610,-999.0,11.501756,  RGB
515482845846,-999.0,11.856839,  RGB
515482851278,-999.0,11.379142,  RGB
515482852807,-999.0,11.355338,  RGB
515482855594,-999.0,11.088058,  RGB
515482859545,-999.0,11.011796,  RGB
515482859957,-999.0,11.596061,  RGB
515482861423,-999.0,11.94595,  RGB
515482863996,-999.0,11.787230000000001,  RGB
515482865659,-999.0,11.808413,  RGB
515482866469,-999.0,11.491472,  RGB
515482871805,-999.0,11.608787,  RGB
515482871969,-999.0,10.805878,  RGB
515482872993,-999.0,11.725437,  RGB
515482873641,-999.0,11.120352,  RGB
515482879126,-999.0,11.500212,  RGB
515482887613,-999.0,11.739203999999999,  RGB
515482888316,-999.0,11.700817,  RGB
515482888947,-999.0,11.603978999999999,  RGB
515482889548,-999.0,11.044617,  RGB
515482895768,-999.0,11.624792,  RGB
515482895876,-999.0,11.647988,  RGB
515482899579,-999.0,11.397077000000001,  RGB
515482903817,-999.0,11.809531,  RGB
515482904111,-999.0,11.399792,  RGB
515482904705,-999.0,11.561843,  RGB
515482906809,-999.0,11.321105000000001,  RGB
515482910187,-999.0,11.494322,  RGB
515482913091,-999.0,11.474827000000001,  RGB
515482923602,-999.0,10.751354,  RGB
515482931075,-999.0,10.688004,  RGB
515482942220,-999.0,10.091384,  RGB
515482947055,-999.0,10.405909,  RGB
515483129748,-999.0,10.156488000000001,  RGB
515483283346,-999.0,10.671667,  RGB
515483432343,-999999500.0,10.183707,  LPV
515483469446,-999.0,10.828484,  LPV
515483710712,-999.0,10.330005,  M
515483723197,-999.0,11.274275,  M
515483746586,-999.0,10.312723,  LPV
515483809907,-999.0,10.416255,  M
515483859526,-999.0,11.144171,  LPV
515483884110,-999.0,11.036126,  LPV
515483893819,-999.0,11.001543,  RGB
515483921334,-999.0,14.150559,  Microlens
515483924074,-999.0,10.390310000000001,  LPV
515483924705,-999.0,10.240611999999999,  RGB
515483959171,-999.0,10.669861000000001,  LPV
515483965865,-999.0,11.177951,  LPV
515483971238,-999.0,10.904702,  RGB
515483976621,-999.0,10.381734,  LPV
515459859896,-999.0,10.633917,  RGB
515461078703,-999.0,10.712153,  LPV
515439607172,-999.0,10.151536,  LPV
515439696857,-999.0,11.022486,  RGB
515439778151,-999.0,10.913651,  RGB
515439889446,-999.0,12.448611,  RGB
515422907815,-999.0,11.356081,  M
515423186890,-999.0,10.638111,  LPV
515423302956,-999.0,10.798908,  LPV
515423330642,-999.0,10.66385,  LPV
515423331237,-999.0,10.287722,  M
515645410389,12.232401,12.208945,  Radio
515625124099,-999.0,10.993566,  M
515625276971,-999.0,14.672281,  Microlens
515625337250,10.595984,10.585805,  LPV
515602832064,-999.0,12.130461,  Microlens
515603397256,-999.0,12.164994,  Microlens
515581407039,-999.0,12.049221000000001,  Radio
515581544201,-999.0,10.061834,  LPV
515581544433,11.227703,10.152777,  LPV
515559061115,-999.0,10.252819,  M
515559132797,-999.0,10.179730000000001,  M
515559213734,-999.0,13.477657,  Microlens
515559251621,-999.0,10.609475999999999,  RGB
515559405708,-999.0,10.922118,  RGB
515559430749,-999.0,10.956089,  Microlens
515559441398,-999.0,11.870567,  Microlens
515559461719,-999.0,10.218418,  M
515559470860,-999.0,10.443760000000001,  LPV
515559477051,-999.0,10.35321,  LPV
515559478740,-999.0,10.375998,  LPV
515559479604,-999.0,10.353278,  LPV
515559520232,-999.0,10.573506,  LPV
515559539047,-999.0,10.351951,  LPV
515559546485,-999.0,12.212301,  Microlens
515559549176,-999.0,10.441554,  LPV
515559564137,-999.0,10.155524,  M
515559568387,-999.0,10.551336000000001,  RGB
515559574569,-999.0,12.131316,  Microlens
515559601419,-999.0,14.738303,  Microlens
515559615337,-999.0,13.826591,  Microlens
515559631476,-999.0,13.898166,  Microlens
515559636021,-999.0,13.252939000000001,  Microlens
515559649023,-999.0,10.821666,  LPV
515559676380,-999.0,12.092048,  Microlens
515559681547,-999.0,12.508925,  Microlens
515559699935,-999.0,13.067544,  Microlens
515559708486,-999.0,10.85471,  Microlens
515559808268,-999.0,9.971944,  RGB
515559826206,-999.0,12.134583000000001,  Microlens
515559838504,-999.0,12.469742,  Microlens
515559847951,-999.0,12.295786999999999,  Microlens
515559871494,-999.0,12.174741000000001,  Microlens
515559875628,-999.0,11.004447,  Microlens
515559901247,-999.0,10.118897,  LPV
515560034238,-999.0,15.597385999999998,  Microlens
515560058163,-999.0,14.164072,  Microlens
515560069673,-999.0,10.135564,  LPV
515560107036,-999.0,10.596698,  LPV
515560113686,-999.0,10.707476,  M
515560140303,-999.0,10.869518,  RGB
515560206921,-999.0,10.574829,  M
515560258386,-999.0,11.220713,  LPV
515560331510,-999.0,10.154112,  LPV
515538627257,-999.0,12.537563,  Microlens
515538645672,-999.0,10.050145,  LPV
515538647706,-999.0,10.403107,  RGB
515538662637,-999.0,13.70396,  Microlens
