,# vivaID,ra,dec,freqSTR,freqPDM,freqLSG,ksAmpl,jmhPnt,kFi2,faPcorrelation2,wesenheit,jAperMag3,ksAperMag3,flagNfreq,flagFbias6,flagFbias7,upload_RA,upload_Dec,varType
9234,515543926949,262.3376675,-29.365994099999998,3.0026782,6.659228999999999,11.3932062,2.726456,0.193243,1.0,0.917423,10.4571466,11.438747,10.856541,1,56,1,262.33767,-29.366,OSARG
9335,515436484984,266.8757349,-23.3396609,26.664647600000002,16.3982233,29.7778202,2.096076,0.249782,0.875,0.8681979999999999,10.575264,11.762006,11.058126,2,112,35,266.87575,-23.33964,OSARG
9428,515482805104,272.03595079999997,-25.845415,2.3645963,9.9704309,3.5004619,2.0881529999999997,0.11584100000000001,0.875,0.8681979999999999,10.2222481,11.684136,10.817061,1,3,1,272.03596,-25.84542,OSARG
9629,515588161728,271.0604044,-32.2163964,14.7299679,1.4545181999999999,2.4546676,2.660291,0.05324400000000001,1.0,0.917423,10.750697099999998,11.831854,11.190598,1,1,1,271.06042,-32.21642,OSARG
9683,515649973512,268.2955662,-35.8361102,19.6044723,7.9472671,4.8116993,2.219606,0.047295,1.0,0.917423,10.6110954,11.595403999999998,11.011591000000001,2,5,1,268.29558,-35.836079999999995,OSARG
9687,515495004470,270.3921955,-26.8881668,23.7349326,13.9530291,5.9781156,2.121229,0.347352,0.727273,0.70667,10.1554394,12.006482,10.908592,1,25,3,270.39221000000003,-26.888140000000003,OSARG
9751,515611160747,267.1808816,-33.3612773,11.9879495,5.6533843,13.632825500000001,2.026814,0.21384699999999998,1.0,0.952492,10.7544937,11.894862,11.218487,3,70,1,267.18092,-33.361309999999996,OSARG
10096,515436584924,266.9705634,-23.2067233,29.2344537,26.9607267,2.7978837000000003,2.021425,0.24526399999999998,0.8888889999999999,0.85,10.7819996,11.962653,11.262383999999999,1,3,1,266.97058,-23.20672,OSARG
10344,515447589138,265.45193650000004,-24.5156055,18.729333899999997,0.43254209999999993,8.318000099999999,2.228529,0.160476,0.9,0.8346049999999999,10.098990400000002,11.622100999999999,10.718714,1,5,3,265.45196,-24.515610000000002,OSARG
10472,515559363928,267.8468901,-30.3584566,0.38875279999999995,17.7260911,19.5118973,2.613106,0.033463,0.761905,0.746396,10.5984993,11.509592,10.969205,1,27,5,267.84692,-30.35844,OSARG
