No. Data Points,Actual,Mira,OSARG,RRab,RRc,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
1300 < 1400,dsct,0,0,0,0,0,0,0,0,0,51,0,0,51
1300 < 1400,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
1300 < 1400,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
13000 < 13100,RRab,0,0,2,2,0,0,0,0,0,0,1,0,5
13000 < 13100,RRc,0,0,0,5,0,0,0,0,0,0,1,0,6
13100 < 13200,RRab,0,0,18,1,0,0,0,0,0,0,2,1,22
13100 < 13200,RRc,2,0,3,15,0,0,0,0,0,0,1,0,21
13100 < 13200,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
13200 < 13300,RRab,0,0,7,0,0,0,0,0,0,0,1,1,9
13200 < 13300,RRc,0,0,0,4,0,0,0,0,1,0,0,0,5
13200 < 13300,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
13300 < 13400,RRab,0,0,2,1,0,0,0,0,0,0,0,0,3
13300 < 13400,RRc,0,0,0,1,0,0,0,0,0,0,0,0,1
13400 < 13500,RRab,0,0,3,1,0,0,0,0,0,0,0,0,4
13400 < 13500,RRc,0,0,0,9,1,0,0,0,0,0,1,0,11
13400 < 13500,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
13500 < 13600,RRab,0,0,10,0,0,0,0,0,0,0,0,0,10
13500 < 13600,RRc,0,0,0,14,0,0,0,0,0,0,0,0,14
13500 < 13600,t2Cep,0,0,0,0,0,0,0,0,0,0,3,0,3
13600 < 13700,RRab,0,0,22,1,0,0,0,0,0,0,0,1,24
13600 < 13700,RRc,0,0,0,20,0,0,0,0,1,0,0,0,21
13600 < 13700,t2Cep,0,0,0,0,0,0,0,0,0,0,6,0,6
13700 < 13800,RRab,0,0,25,4,0,0,0,0,0,0,0,0,29
13700 < 13800,RRc,0,0,1,47,0,0,0,0,0,0,2,0,50
13700 < 13800,t2Cep,0,0,0,0,0,0,0,0,0,0,12,0,12
13800 < 13900,RRab,0,0,230,25,0,0,0,0,0,0,2,0,257
13800 < 13900,RRc,0,0,8,232,0,0,0,0,3,0,1,0,244
13800 < 13900,clasOvertoneCep,0,0,0,1,0,0,2,0,0,0,0,0,3
13800 < 13900,t2Cep,0,0,0,0,0,0,0,0,0,0,90,0,90
13800 < 13900,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,6,6
13900 < 14000,RRab,0,0,1,0,0,0,0,0,0,0,1,0,2
13900 < 14000,RRc,0,0,0,2,0,0,0,0,0,0,1,0,3
13900 < 14000,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3
1400 < 1500,Mira,455,0,0,0,7,0,0,0,0,0,0,0,462
1400 < 1500,OSARG,0,723,0,0,66,0,0,0,0,0,0,0,789
1400 < 1500,RRab,0,0,84,17,0,0,0,0,2,1,4,0,108
1400 < 1500,RRc,0,0,1,131,0,0,0,0,0,0,0,0,132
1400 < 1500,SRV,3,29,0,0,658,0,0,0,0,0,0,1,691
1400 < 1500,contactBinary,0,0,2,7,0,0,0,242,47,0,2,0,300
