No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
1300 < 1400,detachedBinary,0,1,0,5,0,0,0,0,20,36,0,1,0,63
1300 < 1400,dsct,0,0,0,0,0,0,0,0,1,0,50,0,0,51
1300 < 1400,t2Cep,0,0,0,0,0,0,0,0,0,0,0,8,0,8
1300 < 1400,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,6,6
13000 < 13100,RRab,0,0,2,2,0,0,0,0,0,0,0,1,0,5
13000 < 13100,RRc,0,0,1,3,0,0,0,0,0,0,0,1,0,5
13100 < 13200,RRab,0,0,13,1,0,1,0,0,1,0,0,4,0,20
13100 < 13200,RRc,0,0,3,16,0,0,0,0,0,0,0,6,0,25
13100 < 13200,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13200 < 13300,RRab,0,0,6,1,0,0,0,0,0,0,0,1,0,8
13200 < 13300,RRc,0,0,0,4,0,0,0,0,0,0,0,2,0,6
13200 < 13300,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13300 < 13400,RRab,0,0,5,2,0,0,0,0,0,0,0,0,0,7
13300 < 13400,RRc,0,0,0,1,0,0,0,0,0,0,0,1,0,2
13400 < 13500,RRab,0,0,4,1,0,1,0,0,0,0,0,0,0,6
13400 < 13500,RRc,0,0,0,7,2,0,0,0,0,0,0,2,0,11
13400 < 13500,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13500 < 13600,RRab,0,0,4,0,0,0,0,0,0,0,0,2,0,6
13500 < 13600,RRc,0,0,0,12,0,0,0,0,0,0,0,0,0,12
13500 < 13600,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
13600 < 13700,RRab,0,0,11,4,0,0,0,0,0,0,0,1,0,16
13600 < 13700,RRc,0,0,0,11,0,0,0,0,0,0,0,0,0,11
13600 < 13700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,6,0,6
13700 < 13800,RRab,0,0,44,5,0,0,0,0,0,0,0,1,0,50
13700 < 13800,RRc,0,0,2,34,0,0,0,0,0,0,0,1,0,37
13700 < 13800,RRd,0,0,0,0,3,0,0,0,0,0,0,0,0,3
13700 < 13800,t2Cep,0,0,0,0,0,0,0,0,0,0,0,12,0,12
13800 < 13900,RRab,0,0,216,43,1,0,0,0,1,0,0,2,0,263
13800 < 13900,RRc,0,0,14,219,0,0,0,0,0,0,0,2,0,235
13800 < 13900,RRd,0,0,0,3,12,0,0,0,0,0,0,0,0,15
13800 < 13900,clasOvertoneCep,0,0,0,3,0,0,0,0,0,0,0,0,0,3
13800 < 13900,t2Cep,0,0,0,0,0,0,0,0,0,0,0,90,0,90
13800 < 13900,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,3,3,6
13900 < 14000,RRab,0,0,3,0,0,0,0,0,0,0,0,1,0,4
13900 < 14000,RRc,0,0,0,1,0,0,0,0,0,0,0,1,0,2
13900 < 14000,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
1400 < 1500,Mira,459,0,0,0,0,3,0,0,0,0,0,0,0,462
1400 < 1500,OSARG,0,736,0,0,0,77,0,0,0,1,0,0,0,814
1400 < 1500,RRab,0,0,85,20,0,0,0,0,0,0,0,4,0,109
1400 < 1500,RRc,0,1,1,118,1,0,0,0,0,0,0,1,0,122
1400 < 1500,RRd,0,0,2,0,7,0,0,0,0,0,0,0,0,9
1400 < 1500,SRV,3,13,0,0,0,662,0,0,0,0,0,0,0,678
1400 < 1500,contactBinary,0,0,0,6,0,0,0,0,241,50,0,0,0,297
1400 < 1500,detachedBinary,0,1,3,2,0,0,0,0,95,261,0,2,0,364
1400 < 1500,dsct,0,0,0,0,0,0,0,0,0,0,48,0,0,48
1400 < 1500,t2Cep,0,0,2,0,0,0,0,0,0,0,0,10,0,12
1400 < 1500,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
14000 < 14100,RRab,0,0,4,0,0,0,0,0,0,0,0,0,0,4
14100 < 14200,RRab,0,0,3,0,0,0,0,0,0,0,0,1,0,4
14200 < 14300,RRab,0,0,3,2,0,0,0,0,0,0,0,0,0,5
14200 < 14300,RRc,0,0,1,5,0,0,0,0,0,0,0,1,0,7
14200 < 14300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
14300 < 14400,RRab,0,0,0,2,0,0,0,0,0,0,0,0,0,2
14300 < 14400,RRc,0,0,0,6,0,0,0,0,0,0,0,1,0,7
14400 < 14500,RRab,0,0,3,0,0,0,0,0,0,0,0,3,0,6
14400 < 14500,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
14400 < 14500,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,RRab,0,0,4,0,0,0,0,0,0,0,0,1,0,5
14500 < 14600,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
14500 < 14600,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
14500 < 14600,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
14600 < 14700,RRab,0,0,7,2,0,0,0,0,0,0,0,0,0,9
14600 < 14700,RRc,0,0,0,6,0,0,0,0,0,0,0,0,0,6
14600 < 14700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
14700 < 14800,RRab,0,0,4,0,0,0,0,0,0,0,0,0,0,4
14700 < 14800,RRc,0,0,0,11,0,0,0,0,0,0,0,0,0,11
14800 < 14900,RRab,0,0,21,4,0,0,0,0,0,0,0,2,0,27
14800 < 14900,RRc,0,0,1,23,0,0,0,0,0,0,0,0,0,24
14800 < 14900,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
14900 < 15000,RRab,0,0,114,11,2,0,0,0,0,0,0,10,0,137
14900 < 15000,RRc,0,0,1,139,0,0,0,0,0,0,0,3,0,143
14900 < 15000,clasOvertoneCep,0,0,0,0,0,0,0,3,0,0,0,0,0,3
14900 < 15000,t2Cep,0,0,2,0,0,0,0,0,0,0,0,22,0,24
1500 < 1600,Mira,24,0,0,0,0,0,0,0,0,0,0,0,0,24
1500 < 1600,OSARG,0,17,0,2,1,1,0,0,0,0,0,1,0,22
1500 < 1600,RRab,0,0,161,28,4,0,1,1,0,0,0,8,0,203
1500 < 1600,RRc,0,1,4,280,1,0,0,0,1,0,0,0,0,287
1500 < 1600,RRd,0,0,0,0,15,0,0,0,0,0,0,0,0,15
1500 < 1600,SRV,1,3,0,0,0,20,0,0,0,0,0,0,0,24
1500 < 1600,clasCep,0,0,0,3,0,0,0,0,0,0,0,0,0,3
1500 < 1600,contactBinary,0,0,2,0,0,0,0,0,1,1,0,0,0,4
1500 < 1600,detachedBinary,0,0,0,0,0,0,0,0,1,1,0,0,0,2
1500 < 1600,dsct,0,0,2,0,0,0,0,0,0,0,34,0,0,36
1500 < 1600,t2Cep,0,0,0,0,0,0,0,0,0,0,0,42,0,42
1500 < 1600,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,9,9
15000 < 15100,RRab,0,0,19,1,0,0,0,0,0,0,0,0,0,20
15000 < 15100,RRc,0,0,0,11,0,0,0,0,0,0,0,0,0,11
15000 < 15100,clasOvertoneCep,0,0,0,3,0,0,0,0,0,0,0,0,0,3
15000 < 15100,t2Cep,0,0,0,0,0,0,0,0,0,0,0,9,0,9
15000 < 15100,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
1600 < 1700,Mira,29,0,1,0,0,0,0,0,0,0,0,0,0,30
1600 < 1700,OSARG,0,46,0,0,0,8,0,0,0,0,0,0,0,54
1600 < 1700,RRab,0,1,169,28,4,0,1,0,7,1,0,5,0,216
1600 < 1700,RRc,0,0,5,212,2,0,0,0,5,0,0,1,0,225
1600 < 1700,RRd,0,0,0,0,18,0,0,0,0,0,0,0,0,18
1600 < 1700,SRV,3,0,0,0,0,29,0,0,0,0,0,3,1,36
1600 < 1700,clasOvertoneCep,0,0,0,3,0,0,0,1,0,0,0,2,0,6
1600 < 1700,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1600 < 1700,dsct,0,0,0,0,0,0,0,0,0,0,3,0,0,3
1600 < 1700,t2Cep,0,0,4,0,0,0,0,0,0,0,0,23,0,27
1600 < 1700,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,6,6
1700 < 1800,Mira,111,0,0,0,0,0,0,0,0,0,0,0,0,111
1700 < 1800,OSARG,0,216,0,0,0,23,0,0,0,0,0,0,0,239
1700 < 1800,RRab,0,0,108,20,0,0,2,0,2,0,0,8,0,140
1700 < 1800,RRc,0,0,7,166,3,0,0,0,0,0,0,0,0,176
1700 < 1800,RRd,0,0,0,0,9,0,0,0,0,0,0,0,0,9
1700 < 1800,SRV,3,11,0,1,0,175,0,0,0,0,0,0,0,190
1700 < 1800,clasOvertoneCep,0,0,0,3,0,0,0,6,0,0,0,0,0,9
1700 < 1800,detachedBinary,0,0,1,0,0,0,0,0,0,2,0,0,0,3
1700 < 1800,dsct,0,0,0,0,0,0,0,0,0,0,3,0,0,3
1700 < 1800,t2Cep,0,0,2,0,0,0,0,0,0,0,0,25,0,27
1700 < 1800,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,6,6
1800 < 1900,Mira,18,0,0,0,0,0,0,0,0,0,0,0,0,18
1800 < 1900,OSARG,0,37,1,0,0,5,0,0,0,0,0,0,0,43
1800 < 1900,RRab,0,0,146,45,5,0,3,0,2,1,0,4,1,207
1800 < 1900,RRc,0,0,10,190,1,0,0,0,1,0,0,3,0,205
1800 < 1900,RRd,0,0,0,0,6,0,0,0,0,0,0,0,0,6
1800 < 1900,SRV,1,2,0,0,0,31,0,0,0,0,0,0,0,34
1800 < 1900,clasOvertoneCep,0,0,0,1,0,0,0,2,0,0,0,0,0,3
1800 < 1900,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1800 < 1900,dsct,0,0,0,2,0,0,0,0,0,0,1,0,0,3
1800 < 1900,t2Cep,0,0,1,0,0,0,0,0,0,0,0,32,0,33
1800 < 1900,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,12,12
1900 < 2000,Mira,15,0,0,0,0,0,0,0,0,0,0,0,0,15
1900 < 2000,OSARG,0,16,0,0,0,2,0,0,0,0,0,0,0,18
1900 < 2000,RRab,0,0,327,65,11,0,0,0,0,0,0,5,0,408
1900 < 2000,RRc,0,0,12,459,6,0,0,0,0,0,0,5,0,482
1900 < 2000,RRd,0,0,0,0,36,0,0,0,0,0,0,0,0,36
1900 < 2000,SRV,0,2,0,1,0,7,0,0,0,0,1,0,0,11
1900 < 2000,clasCep,0,0,2,2,3,0,0,0,0,0,0,2,0,9
1900 < 2000,dsct,0,0,0,0,0,0,0,0,0,0,3,0,0,3
1900 < 2000,t2Cep,0,0,3,1,0,0,0,0,0,0,0,68,0,72
1900 < 2000,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,24,24
200 < 300,Mira,3383,1,0,0,0,23,27,0,25,1,0,158,268,3886
200 < 300,OSARG,1,694,0,3,0,109,0,2,16,5,3,7,0,840
200 < 300,RRab,11,22,791,119,22,42,1532,129,559,7,5,2707,37,5983
200 < 300,RRc,4,10,159,654,13,8,609,225,2575,19,4,2061,9,6350
200 < 300,RRd,2,4,47,0,29,6,172,10,65,3,0,245,3,586
200 < 300,SRV,160,170,6,21,3,1308,55,78,713,52,2,956,209,3733
200 < 300,clasCep,0,2,4,5,2,3,545,54,21,0,4,43,4,687
200 < 300,clasOvertoneCep,0,1,0,0,0,3,16,356,21,5,1,9,0,412
200 < 300,contactBinary,5,10,38,64,4,2,75,106,5940,230,6,508,13,7001
200 < 300,detachedBinary,9,11,13,17,2,4,15,31,2829,2510,4,161,35,5641
200 < 300,dsct,0,15,99,83,35,2,401,424,2122,48,26,622,8,3885
200 < 300,t2Cep,0,0,7,2,0,0,14,3,51,0,0,625,3,705
200 < 300,t2RVTau,0,0,0,0,0,0,0,0,2,0,0,4,108,114
2000 < 2100,Mira,10,0,0,0,0,2,0,0,0,3,0,0,0,15
2000 < 2100,OSARG,0,4,0,1,0,1,0,0,0,0,0,0,0,6
2000 < 2100,RRab,0,0,57,8,2,0,0,0,0,0,0,1,0,68
2000 < 2100,RRc,0,0,2,73,0,0,0,0,0,0,0,1,0,76
2000 < 2100,RRd,0,0,0,0,6,0,0,0,0,0,0,0,0,6
2000 < 2100,SRV,0,3,0,1,0,3,0,0,0,0,0,0,0,7
2000 < 2100,contactBinary,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2000 < 2100,detachedBinary,0,0,0,0,0,0,0,0,1,1,0,0,0,2
2000 < 2100,dsct,0,0,0,0,0,0,0,0,0,0,3,0,0,3
2000 < 2100,t2Cep,0,0,2,0,0,0,0,0,0,0,0,7,0,9
2000 < 2100,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2100 < 2200,Mira,26,0,0,3,0,0,0,0,0,1,0,0,0,30
2100 < 2200,OSARG,1,7,0,0,0,0,0,0,0,0,0,0,0,8
2100 < 2200,RRab,0,0,2,0,0,0,0,0,0,0,0,0,0,2
2100 < 2200,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2100 < 2200,SRV,0,3,0,0,0,3,0,0,0,0,0,0,0,6
2100 < 2200,detachedBinary,0,0,0,0,0,0,0,0,1,1,0,0,0,2
2100 < 2200,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2200 < 2300,Mira,22,2,0,0,0,0,0,0,0,0,0,0,0,24
2200 < 2300,OSARG,0,14,0,2,0,1,0,0,0,0,0,0,1,18
2200 < 2300,RRc,0,0,0,1,0,0,0,0,0,0,0,1,0,2
2200 < 2300,SRV,0,7,0,0,0,7,0,0,0,0,0,0,0,14
2300 < 2400,Mira,103,19,0,0,0,25,0,0,0,0,0,0,0,147
2300 < 2400,OSARG,6,146,0,0,0,108,0,0,0,0,0,0,0,260
2300 < 2400,RRab,0,0,3,0,0,0,0,0,0,0,0,0,0,3
2300 < 2400,RRc,0,0,0,9,0,0,0,0,0,0,0,0,0,9
2300 < 2400,SRV,12,76,0,0,0,161,0,0,0,0,0,0,0,249
2300 < 2400,clasCep,0,0,0,0,0,1,2,0,0,0,0,0,0,3
2300 < 2400,detachedBinary,0,0,1,0,0,0,0,0,0,1,0,0,0,2
2400 < 2500,Mira,6,0,0,0,0,0,0,0,0,0,0,0,0,6
2400 < 2500,OSARG,0,5,0,0,0,1,0,0,0,0,0,0,0,6
2400 < 2500,RRab,0,0,2,0,0,0,0,0,0,0,0,4,0,6
2400 < 2500,RRc,0,0,0,3,0,0,0,0,1,0,0,0,0,4
2400 < 2500,SRV,0,0,0,0,0,5,0,0,0,0,0,0,0,5
2400 < 2500,detachedBinary,0,0,2,0,0,0,0,0,0,0,0,0,0,2
2500 < 2600,Mira,6,0,0,0,0,0,0,0,0,0,0,0,0,6
2500 < 2600,OSARG,0,11,0,0,0,2,0,1,0,0,0,1,0,15
2500 < 2600,RRab,0,0,5,0,0,0,0,0,0,0,0,0,0,5
2500 < 2600,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
2500 < 2600,SRV,0,4,0,1,0,13,0,0,0,0,0,0,0,18
2500 < 2600,contactBinary,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2500 < 2600,detachedBinary,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2600 < 2700,Mira,24,0,0,0,0,0,0,0,0,0,0,0,0,24
2600 < 2700,OSARG,0,40,0,0,0,4,0,0,0,0,0,0,1,45
2600 < 2700,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2600 < 2700,SRV,0,3,0,0,0,19,0,0,0,0,0,0,0,22
2600 < 2700,contactBinary,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2600 < 2700,detachedBinary,0,0,0,0,0,0,0,0,1,2,0,0,0,3
2600 < 2700,t2Cep,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2600 < 2700,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2700 < 2800,Mira,329,0,0,0,0,1,0,0,0,0,0,0,0,330
2700 < 2800,OSARG,0,499,0,0,0,49,0,0,0,0,0,0,0,548
2700 < 2800,RRab,0,0,4,1,0,0,0,1,0,0,0,1,0,7
2700 < 2800,RRc,0,0,0,4,0,0,0,0,0,0,0,1,0,5
2700 < 2800,SRV,3,45,0,0,0,398,0,0,0,0,0,0,3,449
2700 < 2800,contactBinary,0,0,0,0,0,0,0,0,2,0,0,1,0,3
2700 < 2800,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,1,0,2
2800 < 2900,Mira,15,0,0,0,0,0,0,0,0,0,0,0,0,15
2800 < 2900,OSARG,0,13,0,0,0,0,0,0,0,0,0,0,0,13
2800 < 2900,RRab,0,0,4,1,0,0,0,0,0,0,0,0,0,5
2800 < 2900,RRc,0,0,0,3,0,0,0,0,0,0,0,0,0,3
2800 < 2900,SRV,0,0,0,0,0,7,0,0,0,0,0,0,0,7
2800 < 2900,contactBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2800 < 2900,detachedBinary,0,0,1,0,0,0,0,0,1,2,0,0,0,4
2900 < 3000,Mira,15,0,0,0,0,0,0,0,0,0,0,0,0,15
2900 < 3000,OSARG,0,67,0,0,0,7,0,0,0,0,0,0,0,74
2900 < 3000,RRab,0,0,2,0,0,0,0,0,0,0,0,1,0,3
2900 < 3000,RRc,0,0,0,3,0,0,0,0,0,0,0,0,0,3
