No. Data Points,Actual,Mira,OSARG,RRab,RRc,RRd,SRV,clasCep,clasOvertoneCep,contactBinary,detachedBinary,dsct,t2Cep,t2RVTau,All
200 < 300,RRab,8,7,516,98,8,4,1159,66,1165,18,3,2978,30,6060
200 < 300,RRc,6,8,48,589,5,1,340,76,3999,16,8,1166,9,6271
200 < 300,RRd,0,0,19,4,25,0,122,17,111,2,0,295,0,595
200 < 300,SRV,177,164,10,3,0,1239,48,65,943,53,2,903,209,3816
200 < 300,clasCep,2,0,0,0,0,0,552,36,47,0,0,28,4,669
200 < 300,clasOvertoneCep,0,0,0,4,0,1,0,375,27,0,0,3,0,410
200 < 300,contactBinary,2,4,10,17,0,0,30,39,6406,289,1,212,7,7017
200 < 300,detachedBinary,5,5,4,9,0,6,11,12,3248,2247,3,124,25,5699
200 < 300,dsct,5,23,47,60,20,1,331,228,2667,29,28,476,6,3921
200 < 300,t2Cep,1,0,4,1,0,1,10,1,59,0,0,624,3,704
200 < 300,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,110,110
2000 < 2100,Mira,14,0,0,0,0,1,0,0,0,0,0,0,0,15
2000 < 2100,OSARG,0,12,0,2,0,0,0,0,0,0,0,0,0,14
2000 < 2100,RRab,0,0,47,12,0,0,0,0,0,0,0,2,0,61
2000 < 2100,RRc,0,0,0,91,0,0,0,0,0,0,0,0,0,91
2000 < 2100,RRd,0,0,0,0,6,0,0,0,0,0,0,0,0,6
2000 < 2100,SRV,0,0,0,1,0,5,0,0,0,0,0,0,2,8
2000 < 2100,contactBinary,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2000 < 2100,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2000 < 2100,dsct,0,0,0,0,0,0,0,0,0,0,3,0,0,3
2000 < 2100,t2Cep,0,0,0,0,0,0,0,0,0,0,0,9,0,9
2000 < 2100,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2100 < 2200,Mira,28,0,0,0,0,1,0,0,1,0,0,0,0,30
2100 < 2200,OSARG,0,8,0,0,0,3,0,0,0,0,0,0,0,11
2100 < 2200,RRab,0,0,2,0,0,0,0,0,1,0,0,0,0,3
2100 < 2200,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2100 < 2200,SRV,0,2,0,0,0,1,0,0,0,0,0,0,1,4
2100 < 2200,contactBinary,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2100 < 2200,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2100 < 2200,t2RVTau,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2200 < 2300,Mira,23,0,0,0,0,1,0,0,0,0,0,0,0,24
2200 < 2300,OSARG,0,12,0,2,0,2,0,0,0,0,0,0,0,16
2200 < 2300,RRab,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2200 < 2300,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
2200 < 2300,SRV,0,3,0,0,0,5,0,0,0,0,0,0,0,8
2200 < 2300,contactBinary,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2200 < 2300,detachedBinary,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2300 < 2400,Mira,116,20,0,0,0,11,0,0,0,0,0,0,0,147
2300 < 2400,OSARG,9,192,0,1,0,26,0,0,0,0,0,0,0,228
2300 < 2400,RRab,0,0,1,0,0,0,0,0,0,0,0,1,0,2
2300 < 2400,RRc,0,0,0,4,0,0,0,0,0,0,0,0,0,4
2300 < 2400,SRV,18,121,0,0,0,145,0,0,0,0,0,0,0,284
2300 < 2400,clasCep,0,0,0,0,0,2,1,0,0,0,0,0,0,3
2300 < 2400,detachedBinary,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2400 < 2500,Mira,6,0,0,0,0,0,0,0,0,0,0,0,0,6
2400 < 2500,OSARG,0,12,0,0,0,1,0,0,0,0,0,0,0,13
2400 < 2500,RRab,0,0,3,0,0,0,0,0,0,0,0,0,0,3
2400 < 2500,RRc,0,0,0,5,0,0,0,0,0,0,0,0,0,5
2400 < 2500,SRV,2,2,0,0,0,3,0,0,0,0,0,0,0,7
2400 < 2500,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2500 < 2600,Mira,6,0,0,0,0,0,0,0,0,0,0,0,0,6
2500 < 2600,OSARG,0,17,0,0,0,2,0,0,1,1,0,0,0,21
2500 < 2600,RRab,0,0,4,0,0,0,0,0,0,0,0,2,0,6
2500 < 2600,RRc,0,0,0,12,0,0,0,0,0,0,0,0,0,12
2500 < 2600,SRV,0,1,0,0,0,13,0,0,0,0,0,0,0,14
2500 < 2600,contactBinary,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2500 < 2600,detachedBinary,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2600 < 2700,Mira,24,0,0,0,0,0,0,0,0,0,0,0,0,24
2600 < 2700,OSARG,0,38,0,0,0,3,0,0,0,0,0,0,0,41
2600 < 2700,RRab,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2600 < 2700,RRc,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2600 < 2700,SRV,0,1,0,0,0,18,0,0,0,0,0,0,0,19
